OBJECTID,IDTRAMO,FECHAACTUAL,MODO,CODIGOITINERARIO,CODIGOGESTIONLINEA,NUMEROLINEAUSUARIO,SENTIDO,TIPOITINERARIO,CODIGOESTACION,CODIGOPOSTE,CODIGOANDEN,NUMEROORDEN,IDENTIFICADORTIPOPARADA,TIPOPARADA,DENOMINACION,CODIGOPROVINCIA,CODIGOMUNICIPIO,MUNICIPIO,CORONATARIFARIA,DIRECCION,FECHAALTA,FECHAINICIO,FECHAFIN,LONGITUDTRAMOANTERIOR,VELOCIDADTRAMOANTERIOR,MODOLINEA,MODOINTERCAMBIADOR,CODIGOINTERCAMBIADOR,CODPROV_LINEA,CODMUN_LINEA,IDFTRAMO,CODIGOOBSERVACION,CODIGOSUBLINEA,DENOMINACION_SAE,IDFLINEA,IDFITINERARIO,IDFESTACION,IDFPOSTE,IDFANDEN
11,4_336280_205__427_T,20150709,4,336280,101,10a,1,1,205,,427,21,TI,T,PUERTA DEL SUR,28,007,ALCORCON,B1,Avda de la Libertad N 2,20070425,20070426,,723.81886015532,31.12,4,92,307,,,4__10_A____1_IT_1_4_205__427_TI_T_21,,,,4__10_A__,4__10_A____1_IT_1,4_205,4_205_,4_205_427
12,4_332069_209__435_T,20150709,4,332069,121,12-1,1,1,209,,435,29,TI,T,PUERTA DEL SUR,28,007,ALCORCON,B1,Avda de Leganés N 52,20030613,20030411,,3366.349,40.53,4,92,307,,,4__12_1____1_IT_1_4_209__435_TI_T_29,,,,4__12_1__,4__12_1____1_IT_1,4_209,4_209_,4_209_435
13,4_332070_209__436_T,20150709,4,332070,122,12-2,1,1,209,,436,29,TI,T,PUERTA DEL SUR,28,007,ALCORCON,B1,Avda de Leganés N 52,20030613,20030411,,842.413,40.59,4,92,307,,,4__12_2____1_IT_1_4_209__436_TI_T_29,,,,4__12_2__,4__12_2____1_IT_1,4_209,4_209_,4_209_436
14,4_332069_210__437_I,20150709,4,332069,121,12-1,1,1,210,,437,2,TI,I,PARQUE LISBOA,28,007,ALCORCON,B1,Calle de Porto Lagos N 7,20030613,20030411,,841.921,40.53,4,93,293,,,4__12_1____1_IT_1_4_210__437_TI_I_2,,,,4__12_1__,4__12_1____1_IT_1,4_210,4_210_,4_210_437
15,4_332070_210__438_I,20150709,4,332070,122,12-2,1,1,210,,438,28,TI,I,PARQUE LISBOA,28,007,ALCORCON,B1,Calle de Porto Lagos N 7,20030613,20030411,,1284.994,40.59,4,93,293,,,4__12_2____1_IT_1_4_210__438_TI_I_28,,,,4__12_2__,4__12_2____1_IT_1,4_210,4_210_,4_210_438
16,4_332069_211__439_I,20150709,4,332069,121,12-1,1,1,211,,439,3,TI,I,ALCORCON CENTRAL,28,007,ALCORCON,B1,Avda de Móstoles N 12,20030613,20030411,,1278.985,40.53,4,92,89,,,4__12_1____1_IT_1_4_211__439_TI_I_3,,,,4__12_1__,4__12_1____1_IT_1,4_211,4_211_,4_211_439
17,4_332070_211__440_I,20150709,4,332070,122,12-2,1,1,211,,440,27,TI,I,ALCORCON CENTRAL,28,007,ALCORCON,B1,Avda de Móstoles N 12,20030613,20030411,,1564.933,40.59,4,92,89,,,4__12_2____1_IT_1_4_211__440_TI_I_27,,,,4__12_2__,4__12_2____1_IT_1,4_211,4_211_,4_211_440
18,4_332070_212__442_I,20150709,4,332070,122,12-2,1,1,212,,442,26,TI,I,PARQUE OESTE,28,007,ALCORCON,B1,Calle de Estambul N 5,20030613,20030411,,2614.559,40.59,4,93,294,,,4__12_2____1_IT_1_4_212__442_TI_I_26,,,,4__12_2__,4__12_2____1_IT_1,4_212,4_212_,4_212_442
19,4_332069_212__441_I,20150709,4,332069,121,12-1,1,1,212,,441,4,TI,I,PARQUE OESTE,28,007,ALCORCON,B1,Calle de Estambul N 5,20030613,20030411,,1566.99,40.53,4,93,294,,,4__12_1____1_IT_1_4_212__441_TI_I_4,,,,4__12_1__,4__12_1____1_IT_1,4_212,4_212_,4_212_441
20,4_330931_186__389_T,20150709,4,330931,092,9B,1,1,186,,389,6,TI,T,ARGANDA DEL REY,28,014,ARGANDA DEL REY,B3,Paseo de la Estación N 37,20020220,20000107,,3707.895,54.34,4,93,141,,,4__9_B____1_IT_1_4_186__389_TI_T_6,,,,4__9_B__,4__9_B____1_IT_1,4_186,4_186_,4_186_389
21,4_330931_185__387_I,20150709,4,330931,092,9B,1,1,185,,387,5,TI,I,LA POVEDA,28,014,ARGANDA DEL REY,B3,Parcela   9017 Polígono 1 SN S/N,20020220,20000107,,4371.06,54.34,4,93,251,,,4__9_B____1_IT_1_4_185__387_TI_I_5,,,,4__9_B__,4__9_B____1_IT_1,4_185,4_185_,4_185_387
22,4_330932_185__388_I,20150709,4,330932,092,9B,2,1,185,,388,2,TI,I,LA POVEDA,28,014,ARGANDA DEL REY,B3,Parcela   9017 Polígono 1 SN S/N,20020220,20000107,,3699.83,54.34,4,93,251,,,4__9_B____2_IT_1_4_185__388_TI_I_2,,,,4__9_B__,4__9_B____2_IT_1,4_185,4_185_,4_185_388
23,4_337772_287__775_I,20150709,4,337772,072,7b,1,1,287,,775,7,TI,I,BARRIO DEL PUERTO,28,049,COSLADA,B1,Avda de España N 8,20080214,20080207,,691.7971,33.38,4,93,157,,,4__7_B____1_IT_1_4_287__775_TI_I_7,,,,4__7_B__,4__7_B____1_IT_1,4_287,4_287_,4_287_775
24,4_337773_287__776_I,20150709,4,337773,072,7b,2,1,287,,776,2,TI,I,BARRIO DEL PUERTO,28,049,COSLADA,B1,Avda de España N 8,20080214,20080207,,2950.4729,33.38,4,93,157,,,4__7_B____2_IT_1_4_287__776_TI_I_2,,,,4__7_B__,4__7_B____2_IT_1,4_287,4_287_,4_287_776
25,4_337772_288__777_I,20150709,4,337772,072,7b,1,1,288,,777,6,TI,I,COSLADA CENTRAL,28,049,COSLADA,B1,Calle del Doctor Fleming N 41,20080214,20080207,,1343.4833,33.38,4,92,87,,,4__7_B____1_IT_1_4_288__777_TI_I_6,,,,4__7_B__,4__7_B____1_IT_1,4_288,4_288_,4_288_777
26,4_337773_288__778_I,20150709,4,337773,072,7b,2,1,288,,778,3,TI,I,COSLADA CENTRAL,28,049,COSLADA,B1,Calle del Doctor Fleming N 41,20080214,20080207,,685.1082,33.38,4,92,87,,,4__7_B____2_IT_1_4_288__778_TI_I_3,,,,4__7_B__,4__7_B____2_IT_1,4_288,4_288_,4_288_778
27,4_337772_289__779_I,20150709,4,337772,072,7b,1,1,289,,779,5,TI,I,LA RAMBLA,28,049,COSLADA,B1,Calle   Honduras N 2,20080214,20080207,,1110.1125,33.38,4,93,252,,,4__7_B____1_IT_1_4_289__779_TI_I_5,,,,4__7_B__,4__7_B____1_IT_1,4_289,4_289_,4_289_779
28,4_337773_289__780_I,20150709,4,337773,072,7b,2,1,289,,780,4,TI,I,LA RAMBLA,28,049,COSLADA,B1,Calle   Honduras N 2,20080214,20080207,,1350.387,33.38,4,93,252,,,4__7_B____2_IT_1_4_289__780_TI_I_4,,,,4__7_B__,4__7_B____2_IT_1,4_289,4_289_,4_289_780
29,4_337773_296__1001_C,20150709,4,337773,072,7b,2,1,296,,1001,8,TI,C,HOSPITAL DEL HENARES,28,049,COSLADA,B1,Cmno del Tiro N SN,20080214,20080207,,690.8617,33.38,4,92,232,,,4__7_B____2_IT_1_4_296__1001_TI_C_8,,,,4__7_B__,4__7_B____2_IT_1,4_296,4_296_,4_296_1001
30,4_332069_218__453_I,20150709,4,332069,121,12-1,1,1,218,,453,10,TI,I,LORANCA,28,058,FUENLABRADA,B2,Calle de la Alegría N 4,20030613,20030411,,2902.405,40.53,4,93,260,,,4__12_1____1_IT_1_4_218__453_TI_I_10,,,,4__12_1__,4__12_1____1_IT_1,4_218,4_218_,4_218_453
31,4_332070_218__454_I,20150709,4,332070,122,12-2,1,1,218,,454,20,TI,I,LORANCA,28,058,FUENLABRADA,B2,Calle de la Alegría N 4,20030613,20030411,,2277.269,40.59,4,93,260,,,4__12_2____1_IT_1_4_218__454_TI_I_20,,,,4__12_2__,4__12_2____1_IT_1,4_218,4_218_,4_218_454
32,4_332069_219__455_I,20150709,4,332069,121,12-1,1,1,219,,455,11,TI,I,HOSPITAL DE FUENLABRADA,28,058,FUENLABRADA,B2,Cmno del Molino N 3,20030613,20030411,,2277.737,40.53,4,92,230,,,4__12_1____1_IT_1_4_219__455_TI_I_11,,,,4__12_1__,4__12_1____1_IT_1,4_219,4_219_,4_219_455
33,4_332070_219__456_I,20150709,4,332070,122,12-2,1,1,219,,456,19,TI,I,HOSPITAL DE FUENLABRADA,28,058,FUENLABRADA,B2,Cmno del Molino N 3,20030613,20030411,,720.332,40.59,4,92,230,,,4__12_2____1_IT_1_4_219__456_TI_I_19,,,,4__12_2__,4__12_2____1_IT_1,4_219,4_219_,4_219_456
34,4_332069_220__457_I,20150709,4,332069,121,12-1,1,1,220,,457,12,TI,I,PARQUE EUROPA,28,058,FUENLABRADA,B2,Calle de Francia N 34,20030613,20030411,,719.981,40.53,4,93,292,,,4__12_1____1_IT_1_4_220__457_TI_I_12,,,,4__12_1__,4__12_1____1_IT_1,4_220,4_220_,4_220_457
35,4_332070_220__458_I,20150709,4,332070,122,12-2,1,1,220,,458,18,TI,I,PARQUE EUROPA,28,058,FUENLABRADA,B2,Calle de Francia N 34,20030613,20030411,,875.905,40.59,4,93,292,,,4__12_2____1_IT_1_4_220__458_TI_I_18,,,,4__12_2__,4__12_2____1_IT_1,4_220,4_220_,4_220_458
36,4_332069_221__459_I,20150709,4,332069,121,12-1,1,1,221,,459,13,TI,I,FUENLABRADA CENTRAL,28,058,FUENLABRADA,B2,Calle de la Vía SN SN,20030613,20030411,,877.74,40.53,4,92,91,,,4__12_1____1_IT_1_4_221__459_TI_I_13,,,,4__12_1__,4__12_1____1_IT_1,4_221,4_221_,4_221_459
37,4_332070_221__460_I,20150709,4,332070,122,12-2,1,1,221,,460,17,TI,I,FUENLABRADA CENTRAL,28,058,FUENLABRADA,B2,Calle de la Vía SN SN,20030613,20030411,,1303.514,40.59,4,92,91,,,4__12_2____1_IT_1_4_221__460_TI_I_17,,,,4__12_2__,4__12_2____1_IT_1,4_221,4_221_,4_221_460
38,4_332069_222__461_I,20150709,4,332069,121,12-1,1,1,222,,461,14,TI,I,PARQUE DE LOS ESTADOS,28,058,FUENLABRADA,B2,Calle de Venezuela N 2,20030613,20030411,,1300.089,40.53,4,93,290,,,4__12_1____1_IT_1_4_222__461_TI_I_14,,,,4__12_1__,4__12_1____1_IT_1,4_222,4_222_,4_222_461
39,4_332070_222__462_I,20150709,4,332070,122,12-2,1,1,222,,462,16,TI,I,PARQUE DE LOS ESTADOS,28,058,FUENLABRADA,B2,Calle de Venezuela N 2,20030613,20030411,,2720.007,40.59,4,93,290,,,4__12_2____1_IT_1_4_222__462_TI_I_16,,,,4__12_2__,4__12_2____1_IT_1,4_222,4_222_,4_222_462
40,4_332069_223__463_I,20150709,4,332069,121,12-1,1,1,223,,463,15,TI,I,ARROYO CULEBRO,28,065,GETAFE,B1,Paseo de Juan José Rosón N 1,20030613,20030411,,2719.907,40.53,4,93,142,,,4__12_1____1_IT_1_4_223__463_TI_I_15,,,,4__12_1__,4__12_1____1_IT_1,4_223,4_223_,4_223_463
41,4_332070_223__464_I,20150709,4,332070,122,12-2,1,1,223,,464,15,TI,I,ARROYO CULEBRO,28,065,GETAFE,B1,Paseo de Juan José Rosón N 1,20030613,20030411,,954.156,40.59,4,93,142,,,4__12_2____1_IT_1_4_223__464_TI_I_15,,,,4__12_2__,4__12_2____1_IT_1,4_223,4_223_,4_223_464
42,4_332069_224__465_I,20150709,4,332069,121,12-1,1,1,224,,465,16,TI,I,CONSERVATORIO,28,065,GETAFE,B1,Avda de las Arcas del Agua N 5,20030613,20030411,,950.642,40.53,4,93,177,,,4__12_1____1_IT_1_4_224__465_TI_I_16,,,,4__12_1__,4__12_1____1_IT_1,4_224,4_224_,4_224_465
43,4_332070_224__466_I,20150709,4,332070,122,12-2,1,1,224,,466,14,TI,I,CONSERVATORIO,28,065,GETAFE,B1,Avda de las Arcas del Agua N 5,20030613,20030411,,1218.564,40.59,4,93,177,,,4__12_2____1_IT_1_4_224__466_TI_I_14,,,,4__12_2__,4__12_2____1_IT_1,4_224,4_224_,4_224_466
44,4_332069_225__467_I,20150709,4,332069,121,12-1,1,1,225,,467,17,TI,I,ALONSO DE MENDOZA,28,065,GETAFE,B1,Calle del Greco N 6,20030613,20030411,,1215.894,40.53,4,93,132,,,4__12_1____1_IT_1_4_225__467_TI_I_17,,,,4__12_1__,4__12_1____1_IT_1,4_225,4_225_,4_225_467
45,4_332070_225__468_I,20150709,4,332070,122,12-2,1,1,225,,468,13,TI,I,ALONSO DE MENDOZA,28,065,GETAFE,B1,Calle del Greco N 6,20030613,20030411,,1311.296,40.59,4,93,132,,,4__12_2____1_IT_1_4_225__468_TI_I_13,,,,4__12_2__,4__12_2____1_IT_1,4_225,4_225_,4_225_468
46,4_332069_226__469_I,20150709,4,332069,121,12-1,1,1,226,,469,18,TI,I,GETAFE CENTRAL,28,065,GETAFE,B1,Calle  Ferrocarril N 2,20030613,20030411,,1319.163,40.53,4,92,92,,,4__12_1____1_IT_1_4_226__469_TI_I_18,,,,4__12_1__,4__12_1____1_IT_1,4_226,4_226_,4_226_469
47,4_332070_226__470_I,20150709,4,332070,122,12-2,1,1,226,,470,12,TI,I,GETAFE CENTRAL,28,065,GETAFE,B1,Calle  Ferrocarril N 2,20030613,20030411,,1328.239,40.59,4,92,92,,,4__12_2____1_IT_1_4_226__470_TI_I_12,,,,4__12_2__,4__12_2____1_IT_1,4_226,4_226_,4_226_470
48,4_332070_227__472_I,20150709,4,332070,122,12-2,1,1,227,,472,11,TI,I,JUAN DE LA CIERVA,28,065,GETAFE,B1,Avda de España N 20,20030613,20030411,,1577.403,40.59,4,93,241,,,4__12_2____1_IT_1_4_227__472_TI_I_11,,,,4__12_2__,4__12_2____1_IT_1,4_227,4_227_,4_227_472
49,4_332069_227__471_I,20150709,4,332069,121,12-1,1,1,227,,471,19,TI,I,JUAN DE LA CIERVA,28,065,GETAFE,B1,Avda de España N 20,20030613,20030411,,1323.72,40.53,4,93,241,,,4__12_1____1_IT_1_4_227__471_TI_I_19,,,,4__12_1__,4__12_1____1_IT_1,4_227,4_227_,4_227_471
50,4_332070_228__474_I,20150709,4,332070,122,12-2,1,1,228,,474,10,TI,I,EL CASAR,28,065,GETAFE,B1,Avda del Casar N 2,20030613,20030411,,819.974,40.59,4,92,93,,,4__12_2____1_IT_1_4_228__474_TI_I_10,,,,4__12_2__,4__12_2____1_IT_1,4_228,4_228_,4_228_474
51,4_332069_228__473_I,20150709,4,332069,121,12-1,1,1,228,,473,20,TI,I,EL CASAR,28,065,GETAFE,B1,Avda del Casar N 2,20030613,20030411,,1572.088,40.53,4,92,93,,,4__12_1____1_IT_1_4_228__473_TI_I_20,,,,4__12_1__,4__12_1____1_IT_1,4_228,4_228_,4_228_473
52,4_332070_229__476_I,20150709,4,332070,122,12-2,1,1,229,,476,9,TI,I,LOS ESPARTALES,28,065,GETAFE,B1,Avda   Rigoberta Menchú N 3,20030613,20030411,,1199.174,40.59,4,93,261,,,4__12_2____1_IT_1_4_229__476_TI_I_9,,,,4__12_2__,4__12_2____1_IT_1,4_229,4_229_,4_229_476
53,4_332069_229__475_I,20150709,4,332069,121,12-1,1,1,229,,475,21,TI,I,LOS ESPARTALES,28,065,GETAFE,B1,Avda   Rigoberta Menchú N 3,20030613,20030411,,817.647,40.53,4,93,261,,,4__12_1____1_IT_1_4_229__475_TI_I_21,,,,4__12_1__,4__12_1____1_IT_1,4_229,4_229_,4_229_475
54,4_332070_230__478_I,20150709,4,332070,122,12-2,1,1,230,,478,8,TI,I,EL BERCIAL,28,065,GETAFE,B1,Avda   Comandante José Manuel Ripollés N 4,20030613,20030411,,1550.37,40.59,4,93,201,,,4__12_2____1_IT_1_4_230__478_TI_I_8,,,,4__12_2__,4__12_2____1_IT_1,4_230,4_230_,4_230_478
55,4_332069_230__477_I,20150709,4,332069,121,12-1,1,1,230,,477,22,TI,I,EL BERCIAL,28,065,GETAFE,B1,Avda   Comandante José Manuel Ripollés N 4,20030613,20030411,,1199.883,40.53,4,93,201,,,4__12_1____1_IT_1_4_230__477_TI_I_22,,,,4__12_1__,4__12_1____1_IT_1,4_230,4_230_,4_230_477
56,4_332070_231__480_I,20150709,4,332070,122,12-2,1,1,231,,480,7,TI,I,EL CARRASCAL,28,074,LEGANES,B1,Avda   Rey Juan Carlos I N 85,20030613,20030411,,1056.813,40.59,4,93,204,,,4__12_2____1_IT_1_4_231__480_TI_I_7,,,,4__12_2__,4__12_2____1_IT_1,4_231,4_231_,4_231_480
57,4_332069_231__479_I,20150709,4,332069,121,12-1,1,1,231,,479,23,TI,I,EL CARRASCAL,28,074,LEGANES,B1,Avda   Rey Juan Carlos I N 85,20030613,20030411,,1544.318,40.53,4,93,204,,,4__12_1____1_IT_1_4_231__479_TI_I_23,,,,4__12_1__,4__12_1____1_IT_1,4_231,4_231_,4_231_479
58,4_332069_232__481_I,20150709,4,332069,121,12-1,1,1,232,,481,24,TI,I,JULIAN BESTEIRO,28,074,LEGANES,B1,Avda   Rey Juan Carlos I N 23A,20030613,20030411,,1058.544,40.53,4,93,242,,,4__12_1____1_IT_1_4_232__481_TI_I_24,,,,4__12_1__,4__12_1____1_IT_1,4_232,4_232_,4_232_481
59,4_332070_232__482_I,20150709,4,332070,122,12-2,1,1,232,,482,6,TI,I,JULIAN BESTEIRO,28,074,LEGANES,B1,Avda   Rey Juan Carlos I N 23A,20030613,20030411,,1367.971,40.59,4,93,242,,,4__12_2____1_IT_1_4_232__482_TI_I_6,,,,4__12_2__,4__12_2____1_IT_1,4_232,4_232_,4_232_482
60,4_332069_233__483_I,20150709,4,332069,121,12-1,1,1,233,,483,25,TI,I,CASA DEL RELOJ,28,074,LEGANES,B1,Avda   Gibraltar N 11,20030613,20030411,,1363.821,40.53,4,93,168,,,4__12_1____1_IT_1_4_233__483_TI_I_25,,,,4__12_1__,4__12_1____1_IT_1,4_233,4_233_,4_233_483
61,4_332070_233__484_I,20150709,4,332070,122,12-2,1,1,233,,484,5,TI,I,CASA DEL RELOJ,28,074,LEGANES,B1,Avda   Gibraltar N 11,20030613,20030411,,848.544,40.59,4,93,168,,,4__12_2____1_IT_1_4_233__484_TI_I_5,,,,4__12_2__,4__12_2____1_IT_1,4_233,4_233_,4_233_484
62,4_332069_234__485_I,20150709,4,332069,121,12-1,1,1,234,,485,26,TI,I,HOSPITAL SEVERO OCHOA,28,074,LEGANES,B1,Avda   Orellana N 3,20030613,20030411,,852.28,40.53,4,92,234,,,4__12_1____1_IT_1_4_234__485_TI_I_26,,,,4__12_1__,4__12_1____1_IT_1,4_234,4_234_,4_234_485
63,4_332070_234__486_I,20150709,4,332070,122,12-2,1,1,234,,486,4,TI,I,HOSPITAL SEVERO OCHOA,28,074,LEGANES,B1,Avda   Orellana N 3,20030613,20030411,,1089.877,40.59,4,92,234,,,4__12_2____1_IT_1_4_234__486_TI_I_4,,,,4__12_2__,4__12_2____1_IT_1,4_234,4_234_,4_234_486
64,4_332069_235__487_I,20150709,4,332069,121,12-1,1,1,235,,487,27,TI,I,LEGANES CENTRAL,28,074,LEGANES,B1,Calle  Virgen del Camino N 1,20030613,20030411,,1100.396,40.53,4,92,88,,,4__12_1____1_IT_1_4_235__487_TI_I_27,,,,4__12_1__,4__12_1____1_IT_1,4_235,4_235_,4_235_487
65,4_332070_235__488_I,20150709,4,332070,122,12-2,1,1,235,,488,3,TI,I,LEGANES CENTRAL,28,074,LEGANES,B1,Calle  Virgen del Camino N 1,20030613,20030411,,1170.18,40.59,4,92,88,,,4__12_2____1_IT_1_4_235__488_TI_I_3,,,,4__12_2__,4__12_2____1_IT_1,4_235,4_235_,4_235_488
66,4_332069_236__489_I,20150709,4,332069,121,12-1,1,1,236,,489,28,TI,I,SAN NICASIO,28,074,LEGANES,B1,Avda   Mar Mediterráneo SN SN,20030613,20030411,,1164.882,40.53,4,93,338,,,4__12_1____1_IT_1_4_236__489_TI_I_28,,,,4__12_1__,4__12_1____1_IT_1,4_236,4_236_,4_236_489
67,4_332070_236__490_I,20150709,4,332070,122,12-2,1,1,236,,490,2,TI,I,SAN NICASIO,28,074,LEGANES,B1,Avda   Mar Mediterráneo SN SN,20030613,20030411,,3368.456,40.59,4,93,338,,,4__12_2____1_IT_1_4_236__490_TI_I_2,,,,4__12_2__,4__12_2____1_IT_1,4_236,4_236_,4_236_490
68,4_343166_305__1122_T,20150709,4,343166,011,11,1,1,305,,1122,7,TI,T,LA FORTUNA,28,074,LEGANES,B1,Calle   San José N 40,20101008,20101005,,2357.2088,26.52,4,93,245,,,4__11_____1_IT_1_4_305__1122_TI_T_7,,,,4__11___,4__11_____1_IT_1,4_305,4_305_,4_305_1122
69,4_336414_25__54_I,20150709,4,336414,001,1,1,1,25,,54,28,TI,I,SIERRA DE GUADALUPE,28,079,MADRID,A,Avda de la Democracia N 1,20070516,20070516,,1344.99593007363,22.96,4,91,49,,,4__1_____1_IT_1_4_25__54_TI_I_28,,,,4__1___,4__1_____1_IT_1,4_25,4_25_,4_25_54
70,4_336415_25__55_I,20150709,4,336415,001,1,2,1,25,,55,6,TI,I,SIERRA DE GUADALUPE,28,079,MADRID,A,Avda de la Democracia N 1,20070516,20070516,,482.366086617047,22.96,4,91,49,,,4__1_____2_IT_1_4_25__55_TI_I_6,,,,4__1___,4__1_____2_IT_1,4_25,4_25_,4_25_55
71,4_336414_26__56_I,20150709,4,336414,001,1,1,1,26,,56,29,TI,I,VILLA DE VALLECAS,28,079,MADRID,A,Paseo de Federico García Lorca N 2,20070516,20070516,,483.080889681132,22.96,4,93,370,,,4__1_____1_IT_1_4_26__56_TI_I_29,,,,4__1___,4__1_____1_IT_1,4_26,4_26_,4_26_56
72,4_336415_26__57_I,20150709,4,336415,001,1,2,1,26,,57,5,TI,I,VILLA DE VALLECAS,28,079,MADRID,A,Paseo de Federico García Lorca N 2,20070516,20070516,,804.798848625823,22.96,4,93,370,,,4__1_____2_IT_1_4_26__57_TI_I_5,,,,4__1___,4__1_____2_IT_1,4_26,4_26_,4_26_57
73,4_336332_145__305_I,20150709,4,336332,071,7a,1,1,145,,305,15,TI,I,ISLAS FILIPINAS,28,079,MADRID,A,Calle de Cea Bermúdez N 54,20070507,20070505,,750.736,27.77,4,93,238,,,4__7_A____1_IT_1_4_145__305_TI_I_15,,,,4__7_A__,4__7_A____1_IT_1,4_145,4_145_,4_145_305
74,4_336333_145__306_I,20150709,4,336333,071,7a,2,1,145,,306,9,TI,I,ISLAS FILIPINAS,28,079,MADRID,A,Calle de Cea Bermúdez N 54,20070507,20070505,,1459.635,27.77,4,93,238,,,4__7_A____2_IT_1_4_145__306_TI_I_9,,,,4__7_A__,4__7_A____2_IT_1,4_145,4_145_,4_145_306
75,4_336332_146__307_I,20150709,4,336332,071,7a,1,1,146,,307,16,TI,I,GUZMAN EL BUENO,28,079,MADRID,A,Calle de Guzmán el Bueno N 118,20070507,20070505,,1468.397,27.77,4,93,225,,,4__7_A____1_IT_1_4_146__307_TI_I_16,,,,4__7_A__,4__7_A____1_IT_1,4_146,4_146_,4_146_307
